Vcell1, current, time, supply voltage, supply current, temperature
4.102749667525648,0.0009712468286074034,2022_02_03_11_33_35,4.2,0.94,18.58
4.1474368599926725,0.0599500774173062,2022_02_03_11_33_37,4.2,0.93,18.58
4.148258315995863,0.060771509603047905,2022_02_03_11_33_38,4.2,0.917,18.58
4.148915480805179,0.057814353735200115,2022_02_03_11_33_39,4.2,0.906,18.58
4.149572645620512,0.05830721304635105,2022_02_03_11_33_40,4.2,0.898,18.58
4.149572645620512,0.05765006729816357,2022_02_03_11_33_41,4.2,0.89,18.58
4.150229810441859,0.055842916491211154,2022_02_03_11_33_42,4.2,0.884,18.58
4.150558392854789,0.057814353735200115,2022_02_03_11_33_43,4.2,0.881,18.58
4.151051266477003,0.055514343617307456,2022_02_03_11_33_44,4.2,0.875,18.58
4.151215557685161,0.05567863005425597,2022_02_03_11_33_45,4.2,0.869,18.58
4.1513798488936935,0.05567863005425597,2022_02_03_11_33_46,4.2,0.864,18.58
4.15187272252155,0.056007202928173044,2022_02_03_11_33_48,4.2,0.859,18.58
4.152037013731588,0.055021484306501875,2022_02_03_11_33_49,4.2,0.855,18.58
4.152201304942003,0.05682863511308348,2022_02_03_11_33_50,4.2,0.851,18.58
4.15252988736396,0.052392901316535775,2022_02_03_11_33_51,4.2,0.847,18.58
4.15252988736396,0.055021484306501875,2022_02_03_11_33_52,4.2,0.842,18.58
4.152694178575502,0.05173575556930208,2022_02_03_11_33_53,4.2,0.839,18.58
4.153351343425436,0.053542906374441195,2022_02_03_11_33_54,4.2,0.837,18.58
4.153187052212388,0.05058575051188612,2022_02_03_11_33_55,4.2,0.833,18.58
4.15351563463886,0.05518577074343042,2022_02_03_11_33_57,4.2,0.83,18.58
4.153844217066838,0.053542906374441195,2022_02_03_11_33_58,4.2,0.827,18.58
4.153679925852661,0.05436433855885375,2022_02_03_11_33_59,4.2,0.824,18.58
4.15417279949632,0.048942886144676775,2022_02_03_11_34_00,4.2,0.821,18.58
4.154337090711627,0.05157146913250951,2022_02_03_11_34_01,4.2,0.818,18.58
4.15417279949632,0.050750036948641046,2022_02_03_11_34_02,4.2,0.815,18.58
4.154337090711627,0.049435745454775123,2022_02_03_11_34_03,4.2,0.812,18.58
4.154829964359802,0.0509143233854022,2022_02_03_11_34_04,4.2,0.81,18.58
4.154829964359802,0.051900042006100974,2022_02_03_11_34_06,4.2,0.808,18.58
4.154665673143367,0.048942886144676775,2022_02_03_11_34_07,4.2,0.806,18.58
4.155158546793802,0.04927145901806957,2022_02_03_11_34_08,4.2,0.803,18.58
4.155322838011367,0.04992860476492854,2022_02_03_11_34_09,4.2,0.801,18.58
4.155651420447625,0.04598573028522092,2022_02_03_11_34_10,4.2,0.798,18.58
4.155487129229307,0.051078609822169614,2022_02_03_11_34_11,4.2,0.796,18.58
4.155487129229307,0.049435745454775123,2022_02_03_11_34_12,4.2,0.793,18.58
4.155651420447625,0.04927145901806957,2022_02_03_11_34_13,4.2,0.791,18.58
4.155651420447625,0.045657157412065795,2022_02_03_11_34_14,4.2,0.791,18.58
4.156144294104837,0.047300021778074935,2022_02_03_11_34_16,4.2,0.788,18.58
4.156144294104837,0.04992860476492854,2022_02_03_11_34_17,4.2,0.786,18.58
4.156308585324661,0.04845002683463311,2022_02_03_11_34_18,4.2,0.784,18.58
4.156144294104837,0.04762859465134742,2022_02_03_11_34_19,4.2,0.782,18.58
4.156472876544861,0.046642876031600985,2022_02_03_11_34_20,4.2,0.78,18.58
4.156472876544861,0.04368572017361631,2022_02_03_11_34_21,4.2,0.778,18.58
4.156801458986391,0.0487785997079895,2022_02_03_11_34_22,4.2,0.776,18.58
4.15696575020772,0.04845002683463311,2022_02_03_11_34_23,4.2,0.775,18.58
4.156801458986391,0.045657157412065795,2022_02_03_11_34_24,4.2,0.773,18.58
4.15696575020772,0.04845002683463311,2022_02_03_11_34_26,4.2,0.771,18.58
4.15696575020772,0.04500001166582478,2022_02_03_11_34_27,4.2,0.77,18.58
4.156801458986391,0.046642876031600985,2022_02_03_11_34_28,4.2,0.767,18.58
4.157458623873971,0.047957167524643726,2022_02_03_11_34_29,4.2,0.766,18.58
